"","Time (s)","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9","Trial 10","Trial 11","Trial 12","Trial 13","Trial 14","Trial 15","Trial 16","Trial 17","Trial 18","Trial 19","Trial 20","Trial 21","Trial 22","Trial 23","Trial 24","Trial 25","Trial 26","Trial 27","Trial 28","Trial 29","Trial 30","Trial 31","Trial 32","Trial 33","Trial 34","Trial 35","Trial 36","Trial 37","Trial 38","Trial 39","Trial 40"
"35",34,0,0,1,0,1,1,0,0,1,1,1,2,1,1,0,1,0,0,2,1,2,1,1,0,0,1,0,1,0,2,2,0,1,2,0,1,1,0,2,2
"36",35,1,0,0,1,1,2,2,2,0,1,1,2,2,1,2,2,0,0,1,2,1,1,0,1,2,2,1,1,0,2,1,0,2,1,2,2,1,1,2,1
"37",36,0,1,1,0,1,2,1,2,2,2,0,1,0,1,0,1,0,2,2,1,0,1,1,0,1,1,0,2,0,1,0,1,1,0,1,0,0,0,2,1
"38",37,0,1,1,0,2,2,1,2,0,1,0,1,1,1,2,1,0,1,2,0,2,2,0,2,1,0,1,1,2,1,1,0,1,2,1,1,2,1,1,3
"39",38,0,1,1,1,2,0,0,1,1,1,1,0,1,2,2,1,0,1,2,1,1,1,1,0,0,1,1,1,1,2,1,0,1,0,1,0,1,0,2,0
"40",39,0,1,2,0,2,1,1,2,2,1,1,1,1,2,1,2,1,1,0,1,0,2,0,0,1,2,1,1,1,1,1,0,2,1,1,2,1,1,0,2
"41",40,1,0,1,1,1,1,1,2,0,1,1,1,1,1,2,1,2,0,2,2,1,1,0,1,0,1,1,0,1,1,1,1,0,0,2,0,1,2,0,1
"42",41,0,2,2,0,1,1,0,1,1,1,1,2,2,1,0,2,1,0,1,2,1,1,0,1,1,2,1,1,0,2,1,1,1,1,0,1,1,0,2,1
"43",42,1,1,1,0,2,0,0,1,2,1,2,1,0,0,0,1,1,1,1,1,1,2,1,0,2,1,2,2,1,1,1,0,1,1,2,1,1,0,1,2
"44",43,1,1,0,1,0,2,1,2,1,2,2,2,2,0,1,2,1,0,0,2,1,0,0,1,2,2,1,0,0,0,1,1,2,2,1,2,2,0,1,2
"45",44,1,2,2,2,1,1,1,2,1,1,1,2,1,1,0,2,2,1,1,1,1,1,0,1,1,1,3,2,1,1,1,1,2,2,1,1,1,0,1,1
"46",45,2,2,1,1,0,2,1,2,2,1,2,1,0,2,2,0,0,0,1,1,1,0,0,0,2,2,1,1,1,1,1,1,1,2,1,0,0,0,1,2
"47",46,2,1,1,2,0,1,1,1,1,2,2,1,3,1,1,2,2,0,2,1,1,1,0,0,1,1,2,1,0,0,1,0,1,1,1,2,2,2,1,3
"48",47,0,0,0,0,2,1,1,1,1,1,1,2,2,1,1,1,0,0,1,1,1,1,0,1,1,1,1,2,0,1,0,0,2,1,3,3,2,1,0,1
"49",48,1,2,1,2,1,2,1,2,0,1,1,2,1,1,1,2,1,1,2,0,0,2,0,1,1,2,1,1,0,1,1,1,2,0,1,2,1,2,2,2
"50",49,1,1,1,0,0,1,2,1,0,2,1,1,2,1,2,2,1,0,1,0,1,0,1,1,1,0,1,0,1,2,3,0,1,1,1,0,1,2,2,1
"51",50,1,2,2,0,1,1,0,1,1,1,1,2,2,0,1,1,2,1,2,1,0,1,0,1,2,1,1,1,2,2,1,0,1,1,1,1,1,1,2,2
"52",51,1,1,1,1,0,0,1,1,0,1,1,1,1,2,1,2,2,0,1,1,1,1,0,2,1,1,1,0,1,1,2,1,2,2,1,1,1,2,1,1
"53",52,1,2,2,0,1,1,3,0,2,0,1,2,1,1,2,2,1,2,0,0,1,2,1,2,0,1,1,2,0,2,2,0,1,2,1,0,1,1,1,2
"54",53,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,0,2,0,1,1,0,1,2,2,2,1,2,1,1,0,0,1,1,2,1,1,1,1,3,2
"55",54,1,3,2,0,2,2,1,2,2,0,1,1,1,1,1,0,1,1,2,1,0,1,1,1,0,0,2,1,2,1,1,1,1,1,1,2,1,2,1,2
"56",55,1,1,0,1,1,1,0,1,2,1,1,2,0,1,1,0,2,0,1,2,2,0,2,2,2,2,2,2,0,0,2,1,2,2,2,0,1,0,2,2
"57",56,2,2,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,2,1,2,0,2,1,1,0,0,0,1,0,1,1,2,2
"58",57,1,1,2,1,1,1,1,2,1,0,1,1,1,0,3,2,2,0,0,1,1,2,3,1,1,1,1,1,1,1,2,0,3,0,2,1,1,2,2,3
"59",58,2,2,2,1,1,0,2,1,3,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,1,2,0,2,1,1,1,2,0,2,2,2,1,3,1
"60",59,2,3,2,2,2,0,0,1,1,1,2,2,0,1,2,1,2,0,1,2,1,2,1,0,2,2,1,1,1,2,1,1,1,1,1,3,1,1,1,2
"61",60,1,2,2,1,1,1,0,2,1,0,0,1,2,1,2,1,2,0,1,2,1,0,1,2,1,2,1,1,1,2,1,0,2,2,0,0,1,2,3,1
"62",61,1,1,3,1,1,2,2,2,1,0,1,1,1,2,1,1,1,0,1,1,2,1,2,1,0,0,2,1,1,1,0,1,1,0,2,2,1,1,2,2
"63",62,2,0,2,1,1,1,1,2,1,0,1,2,1,1,1,1,1,1,2,1,1,1,2,0,2,2,2,2,0,2,0,1,1,2,1,2,1,2,3,1
"64",63,1,2,1,2,1,2,1,2,1,0,1,1,1,1,1,2,1,0,3,1,1,1,0,2,2,1,1,1,1,1,0,1,2,2,1,1,1,2,1,0
"65",64,1,2,3,1,0,2,1,1,2,1,1,2,0,1,1,3,1,1,2,1,2,1,0,2,0,1,1,1,1,3,1,0,1,2,2,1,1,1,1,2
"66",65,1,1,2,2,2,2,1,0,0,0,1,1,2,2,1,1,1,1,2,2,2,1,2,1,2,0,0,2,1,1,1,1,1,3,1,1,1,1,2,0
"67",66,2,2,2,1,1,1,2,1,3,0,1,1,2,0,1,2,1,1,2,2,1,2,1,0,1,1,1,1,1,2,0,1,1,1,2,1,1,1,1,0
"68",67,2,1,2,2,2,2,2,2,1,1,2,0,1,2,1,2,3,2,0,2,1,1,2,1,0,0,2,1,1,2,2,0,2,2,2,0,0,2,1,2
"69",68,1,1,2,1,3,1,1,1,2,1,2,2,2,2,2,1,1,1,2,2,2,2,0,2,1,2,1,1,1,1,0,0,1,3,2,2,1,2,0,0
"70",69,1,1,0,1,2,1,1,2,2,0,0,1,1,1,1,1,2,1,2,0,2,2,1,1,1,2,1,1,1,1,3,1,1,1,2,1,0,1,1,2
"71",70,1,2,1,1,1,1,2,2,2,1,1,2,2,1,0,2,1,1,1,2,0,1,2,0,1,2,1,1,1,0,1,0,2,2,3,2,1,2,1,1
"72",71,2,1,1,2,1,1,1,1,1,1,0,1,1,2,1,1,2,2,3,1,1,1,2,2,0,2,1,1,1,2,2,1,1,1,3,2,1,1,1,1
"73",72,1,2,1,0,3,0,1,4,2,0,1,1,1,0,1,3,2,1,3,2,2,1,0,1,2,1,1,1,1,0,2,1,2,3,1,2,1,2,1,2
"74",73,0,1,2,2,0,1,2,2,1,0,1,1,2,2,1,1,1,0,1,1,2,2,2,2,0,1,1,2,1,1,2,1,2,2,2,2,0,2,1,1
"75",74,1,0,2,2,1,0,1,1,1,1,1,1,2,2,1,1,1,1,3,2,2,1,2,0,2,1,1,0,2,2,1,1,1,2,1,1,1,1,2,1
"76",75,2,1,1,2,1,1,1,1,3,0,2,2,1,2,0,2,1,1,1,1,1,1,1,0,1,0,2,2,2,0,1,0,1,1,2,1,1,2,1,0
"77",76,2,1,2,1,1,2,0,2,2,1,3,1,2,1,2,2,3,2,2,1,1,2,2,1,2,0,2,0,1,2,1,1,2,1,2,1,1,2,1,1
"78",77,1,1,1,2,2,2,1,1,2,0,1,1,1,0,1,2,1,0,2,2,0,2,1,1,1,1,2,1,1,0,1,0,1,2,1,2,1,2,1,2
"79",78,2,1,1,2,1,2,1,2,1,0,2,0,2,1,1,0,2,2,2,1,2,2,2,1,1,2,2,1,1,2,0,0,1,0,1,1,1,2,1,2
"80",79,2,0,3,2,3,2,1,3,2,2,1,2,2,2,2,3,1,2,1,2,2,2,2,1,2,1,3,1,1,2,0,1,2,2,2,2,1,1,2,0
"81",80,2,1,1,2,1,1,1,0,2,0,2,1,1,1,1,2,0,0,1,1,1,3,1,1,1,1,1,2,1,2,0,1,3,2,1,1,0,3,1,1
"82",81,0,1,2,2,1,1,2,2,2,1,2,0,2,1,1,2,1,2,1,1,1,1,2,1,1,2,1,2,2,0,0,1,0,1,2,1,2,2,2,2
"83",82,1,1,0,1,2,2,1,2,1,1,1,2,2,2,2,2,0,1,0,1,1,2,2,0,2,2,2,1,1,0,2,1,3,2,2,1,1,2,2,2
"84",83,2,2,1,2,1,1,2,0,2,1,1,2,1,1,2,1,1,2,1,1,1,1,0,2,2,2,1,1,1,2,1,0,1,0,2,1,1,2,2,0
"85",84,2,1,1,0,0,2,0,2,1,0,2,1,2,1,2,3,1,1,1,2,1,1,2,1,2,0,1,1,1,2,1,0,1,2,1,0,2,1,1,1
"86",85,1,1,2,2,2,1,1,1,2,0,2,1,0,0,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,0,1,1,2,2,2
"87",86,2,1,2,1,2,2,1,0,1,1,2,1,3,1,2,2,3,1,2,1,1,3,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,0
"88",87,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,3,1
"89",88,1,1,1,1,1,1,0,1,1,1,0,1,2,1,2,2,1,1,1,2,0,1,2,1,2,2,1,1,2,1,1,0,2,2,1,2,1,1,2,2
"90",89,1,2,1,1,1,1,1,0,1,1,2,1,2,2,2,1,2,0,2,1,1,1,1,2,3,0,1,1,2,1,1,1,3,1,2,0,1,1,1,2
